pairID,gold_label,Sentence1,Sentence2,Explanation_1,Sentence1_marked_1,Sentence2_marked_1,Sentence1_Highlighted_1,Sentence2_Highlighted_1,Explanation_2,Sentence1_marked_2,Sentence2_marked_2,Sentence1_Highlighted_2,Sentence2_Highlighted_2,Explanation_3,Sentence1_marked_3,Sentence2_marked_3,Sentence1_Highlighted_3,Sentence2_Highlighted_3
3980085662.jpg#0r1c,contradiction,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",dog eats out of bowl,Boys are not dogs.," Two young *boys* of opposing teams play football, while wearing full protection uniforms and helmets.",*dog* eats out of bowl,2,0,Boys playing football cannot be a dog eating out of a bowl.," Two young *boys* of opposing teams play football, while wearing full protection uniforms and helmets.",*dog* eats out of bowl,2,0,Two young boys playing football would not refer to a dog.," *Two* *young* *boys* of opposing teams play football, while wearing full protection uniforms and helmets.",*dog* eats out of bowl,"0,1,2",0
3980085662.jpg#0r1n,neutral,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.",boys scoring a touchdown,Boys can refer to more individuals than two young boys. Playing football does not imply they are scoring a touchdown.,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.", *boys* *scoring* *a* *touchdown*,{},"0,1,3,2",The fact that two boys are playing football does not imply that any boys have scored a touchdown.,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.", boys scoring a *touchdown*,{},3,Just because boys are playing football it does not mean they are scoring a touchdown.,"Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.", *boys* *scoring* a *touchdown*,{},"0,1,3"
24467676.jpg#1r1n,neutral,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is repainting a garage,"Just because a man is standing in front of a structure that is painted with geometric designs, doesn't mean he is repainting it. A garage-like structure isn't necessarily a garage.",A man in a blue shirt standing in front of a garage-like structure painted with geometric designs., A man is *repainting* a *garage*,{},"3,5",The fact that a man is standing in front of a painted garage does not imply that he is in currently in the process of repainting a garage.,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs., A man is *repainting* *a* *garage*,{},"3,4,5",Just because a man is in front of a garage-like structure it does not mean he is repainting a garage.,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs., A *man* *is* *repainting* a *garage*,{},"5,3,1,2"
24467676.jpg#1r1e,entailment,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a blue shirt,"""in a blue shirt"" is inferred as ""wearing a blue shirt"".", A man *in* *a* *blue* *shirt* standing in front of a garage-like structure painted with geometric designs., A man is *wearing* *a* *blue* *shirt*,"3,2,4,5","3,4,5,6",In a blue shirt is a paraphrasing of wearing a blue shirt., A man *in* *a* *blue* *shirt* standing in front of a garage-like structure painted with geometric designs., A man is *wearing* *a* *blue* *shirt*,"2,3,4,5","3,4,5,6","""In a blue shirt"" is a rephrasing of ""is wearing a blue shirt""", A man *in* *a* *blue* *shirt* standing in front of a garage-like structure painted with geometric designs., A man *is* *wearing* *a* *blue* *shirt*,"2,3,4,5","2,3,4,5,6"
24467676.jpg#1r1c,contradiction,A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a black shirt,Blue is a different color than black.,A man in a *blue* shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a *black* shirt,4,5,A person cannot be wearing a black shirt while in a blue shirt.,A man *in* *a* *blue* *shirt* standing in front of a garage-like structure painted with geometric designs.,A man is *wearing* *a* *black* *shirt*,"4,5,2,3","5,6,3,4",A man cannot be wearing a blue shirt and a black shirt at the same time.,A man in a *blue* shirt standing in front of a garage-like structure painted with geometric designs.,A man is wearing a *black* shirt,4,5
3667788497.jpg#0r1e,entailment,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller of a plane.,There are both child reaching up to touch a propeller.," Under a blue sky with white clouds, a child *reaches* *up* to touch the propeller of a plane standing parked on a field of grass.", A child is *reaching* to touch the propeller of a plane.,"9,10",3,'A child is reaching to touch the propeller of a plane' is a rephrasing of 'a child reaches up to touch the propeller of a plane'.," Under a blue sky with white clouds, *a* *child* *reaches* *up* *to* *touch* *the* *propeller* *of* *a* *plane* standing parked on a field of grass.", *A* *child* is *reaching* *to* *touch* *the* *propeller* *of* *a* *plane.*,"7,8,9,10,11,12,13,14,15,16,17","0,1,3,4,5,6,7,8,10,9",The action reaches up is the same as is reaching.," Under a blue sky with white clouds, a child *reaches* *up* to touch the propeller of a plane standing parked on a field of grass.", A child *is* *reaching* to touch the propeller of a plane.,"9,10","3,2"
3667788497.jpg#0r1n,neutral,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is reaching to touch the propeller out of curiosity.,We don't know why the child is touching the propellor. It could be curiosity or any other emotion or reason.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.", A child is reaching to touch the propeller out of *curiosity.*,{},10,"A child may touch a propeller for many reasons, it is not implied that he wants to touch it out of curiosity.","Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.", A child is reaching to touch the propeller *out* *of* *curiosity.*,{},"8,9,10",Just because a child reaches to touch a propeller it does not mean it is out of curiosity.,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.", *A* *child* is *reaching* *to* *touch* *the* *propeller* *out* *of* *curiosity.*,{},"0,1,3,4,5,6,7,10,8,9"
3667788497.jpg#0r1c,contradiction,"Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.",A child is playing with a ball.,A plane is not a ball.," Under a blue sky with white clouds, a child reaches up to touch the propeller of a *plane* standing parked on a field of grass.",A child is playing with a *ball.*,17,6,While playing with a ball  a child cannot touch the propeller.," Under a blue sky with white clouds, a child reaches up to *touch* the *propeller* of a plane standing parked on a field of grass.",A child is *playing* with a *ball.*,"12,14","6,3","The object the child plays with was originally a plane, which changes into a ball in the second story."," Under a blue sky with white clouds, a child reaches up to touch the *propeller* of a plane standing parked on a field of grass.",A child is playing with a *ball.*,14,6
3948003394.jpg#1r1e,entailment,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel.,Both woman are doing a cartwheel., A *woman* is *doing* *a* *cartwheel* while wearing a bikini in the sand next to the beach., A *woman* is *doing* *a* *cartwheel.*,"5,3,4,1","5,3,4,1","""A woman is doing a cartwheel"" is the same as ""a woman is doing a cartwheel.""", A *woman* is *doing* a *cartwheel* while wearing a bikini in the sand next to the beach., A *woman* is *doing* a *cartwheel.*,"1,3,5","1,3,5","""Doing a cartwheel"" is a shorter version of ""doing a cartwheel while wearing a bikini"".", A woman is *doing* *a* *cartwheel* while wearing a bikini in the sand next to the beach., A woman is *doing* *a* *cartwheel.*,"3,4,5","3,4,5"
3948003394.jpg#1r1c,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is fixing her home.,"It is not feasible to be in the process of fixing a home, while you are also doing a cartwheel.",A woman is *doing* *a* *cartwheel* while wearing a bikini in the sand next to the beach.,A woman is *fixing* her home.,"5,3,4",3,woman can't be fixing her home if doing a cartwheel,A woman is *doing* a *cartwheel* while wearing a bikini in the sand next to the beach.,A woman is *fixing* her *home.*,"3,5","3,5",A woman fuxing her home cannot be in the sand.,A woman is doing a cartwheel while wearing a bikini in the *sand* next to the beach.,A woman is *fixing* *her* *home.*,12,"5,3,4"
3948003394.jpg#1r1n,contradiction,A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and falls on her head.,A woman doing a cartwheel as opposed to a woman falling while doing a cartwheel.,A woman is *doing* a cartwheel while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and *falls* on her head.,3,7,A woman can't be doing a cartwheel and fall on her head.,A woman is *doing* *a* *cartwheel* while wearing a bikini *in* *the* *sand* *next* *to* *the* *beach.*,A woman is doing a cartwheel and *falls* *on* *her* *head.*,"10,11,12,13,14,15,16,3,4,5","7,8,10,9",wearing and falls,A woman is doing a *cartwheel* while wearing a bikini in the sand next to the beach.,A woman is doing a cartwheel and *falls* on her head.,5,7
6170429974.jpg#3r1e,entailment,Two men on bicycles competing in a race.,People are riding bikes.,Two men can also be referred as people and on bicycles competing a race is synonymous of riding bikes., *Two* *men* on *bicycles* competing in a race., *People* are *riding* *bikes.*,"0,1,3","0,2,3","If the men are competing in a bicycle race, it stands to reason the men are riding bikes.", Two men on *bicycles* *competing* in a race., People are *riding* bikes.,"4,3",2,Men are people., Two *men* on bicycles competing in a race., *People* are riding bikes.,1,0
6170429974.jpg#3r1n,neutral,Two men on bicycles competing in a race.,Men are riding bicycles on the street.,You do not have to ride a bike on the street.,Two men on bicycles competing in a race., Men are riding bicycles on the *street.*,{},6,Not all bicycle races are held on the street.,Two men on bicycles competing in a race., Men are riding bicycles on the *street.*,{},6,The men may not be riding in a street,Two men on bicycles competing in a race., Men are riding bicycles on the *street.*,{},6
6170429974.jpg#3r1c,contradiction,Two men on bicycles competing in a race.,A few people are catching fish.,A few is more than two people. One cannot catch fish while racing bicycles.,*Two* *men* on *bicycles* competing in a race.,A *few* people are catching *fish.*,"0,1,3","1,5",One cannot be on bicycles in a race and catching fish at the same time.,Two men on *bicycles* competing in a *race.*,A few people are *catching* *fish.*,"3,7","4,5",A few people cannot be competing in a race and catching fish at the same time.,*Two* *men* *on* *bicycles* competing in a race.,A *few* *people* *are* *catching* *fish.*,"0,1,2,3","1,2,3,4,5"
530472459.jpg#4r1n,neutral,A young boy in a field of flowers carrying a ball,boy leaving baseball game,The boy is not necessarily leaving a baseball game.,A young boy in a field of flowers carrying a ball, boy *leaving* *baseball* *game*,{},"1,2,3",The fact that a boy is carrying a ball does not necessarily imply that he is leaving a baseball game.,A young boy in a field of flowers carrying a ball, boy *leaving* *baseball* *game*,{},"1,2,3","Just because the boy has a ball does not mean he has been at a baseball game, and if he has, he may still be playing, not leaving the game.",A young boy in a field of flowers carrying a ball, boy *leaving* *baseball* *game*,{},"1,2,3"
530472459.jpg#4r1e,entailment,A young boy in a field of flowers carrying a ball,boy in field,young boy in a field  is a boy in a field, A *young* *boy* *in* *a* *field* of flowers carrying a ball, *boy* *in* *field*,"1,2,3,4,5","0,1,2",A boy in a field must be a young boy boy in a field of flowers., A young *boy* in a *field* of flowers carrying a ball, *boy* in *field*,"2,5","0,2",A young boy can be commonly called a boy., A *young* *boy* in a field of flowers carrying a ball, *boy* in field,"1,2",0
530472459.jpg#4r1c,contradiction,A young boy in a field of flowers carrying a ball,dog in pool,The boy cannot also be a dog,A young *boy* in a field of flowers carrying a ball,*dog* in pool,2,0,There can either be a boy or a dog.,A young *boy* in a field of flowers carrying a ball,*dog* in pool,2,0,A boy and a dog are different things.,A young *boy* in a field of flowers carrying a ball,*dog* in pool,2,0
173499538.jpg#2r1n,contradiction,Families waiting in line at an amusement park for their turn to ride.,The restaurant is very bad.,The family is at an amusement park not the restaurant.,Families waiting in line at an *amusement* *park* for their turn to ride.,The *restaurant* is very bad.,"6,7",1,in a restaurant or an amusement park,Families waiting in line at an *amusement* *park* for their turn to ride.,The *restaurant* is very bad.,"6,7",1,The location is an amusement park or a restaurant.,Families waiting in line at an *amusement* *park* for their turn to ride.,The *restaurant* is very bad.,"6,7",1
173499538.jpg#2r1e,contradiction,Families waiting in line at an amusement park for their turn to ride.,People are waiting in line at a restaurant.,The people are either at an amusement park or at a restaurant but not at both simultaneously.,Families waiting in line at *an* *amusement* *park* for their turn to ride.,People are waiting in line *at* *a* *restaurant.*,"5,6,7","5,6,7",Amusement part and restaurant are not the same place.,Families waiting in line at an *amusement* *park* for their turn to ride.,People are waiting in line at a *restaurant.*,"6,7",7,people can't be in line at restaurant if they are in line at amusement park,Families waiting *in* *line* at an *amusement* *park* for their turn to ride.,*People* are waiting *in* *line* at a *restaurant.*,"2,3,6,7","0,3,4,7"
173499538.jpg#2r1c,contradiction,Families waiting in line at an amusement park for their turn to ride.,People are waiting to see a movie.,One does not usually see a movie at an amusement park.,Families waiting in line at an *amusement* *park* for their turn to ride.,People are waiting to *see* *a* *movie.*,"6,7","6,4,5",People can't be waiting to see a movie if they are waiting to ride,Families *waiting* in line at an amusement park for their turn *to* *ride.*,People are *waiting* to see *a* *movie.*,"1,11,12","5,6,2",Someone waiting to see a movie cannot be in line at an amusement park for their turn to ride.,Families waiting in line at an *amusement* *park* *for* *their* *turn* *to* *ride.*,People are waiting to see a *movie.*,"6,8,7,9,11,10,12",6
2868652721.jpg#1r1e,entailment,A senior is waiting at the window of a restaurant that serves sandwiches.,A person waits to be served his food.,A person waiting at the window of a restaurant that serves sandwiches is waiting to be served food., A senior is *waiting* *at* *the* *window* *of* *a* *restaurant* *that* *serves* *sandwiches.*, A person waits to be *served* *his* *food.*,"3,4,5,6,7,8,9,10,11,12","5,6,7","A senior waiting is a person who waits, and somewhere that serves sandwiches will have served food.", A *senior* is *waiting* at the window of a restaurant that *serves* *sandwiches.*, A *person* *waits* to be *served* his *food.*,"1,11,12,3","1,5,7,2",A senior is a person., A *senior* is waiting at the window of a restaurant that serves sandwiches., A *person* waits to be served his food.,1,1
2868652721.jpg#1r1c,contradiction,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is waiting in line for the bus.,The person cannot be waiting at the window of a restaurant and waiting in line for the bus simultaneously.,A senior is *waiting* *at* *the* *window* *of* *a* *restaurant* that serves sandwiches.,A man is *waiting* *in* *line* *for* *the* *bus.*,"3,4,6,5,7,8,9","3,4,5,6,7,8",One cannot be in line for a bus and at a restaurant at the same time.,A senior is waiting at the *window* of a *restaurant* that serves sandwiches.,A man is waiting in *line* for the *bus.*,"6,9","8,5",The man cannot be waiting at the window of a restaurant and in line for the bus simultaneously.,A senior is *waiting* *at* *the* *window* *of* *a* *restaurant* that serves sandwiches.,A man is waiting *in* *line* *for* *the* *bus.*,"4,5,6,7,8,9,3","4,5,6,7,8"
2868652721.jpg#1r1n,neutral,A senior is waiting at the window of a restaurant that serves sandwiches.,A man is looking to order a grilled cheese sandwich.,A senior is not necessarily a man. Waiting at the window of a restaurant does not necessarily imply wanting to order a grilled cheese sandwich.,A senior is waiting at the window of a restaurant that serves sandwiches., A *man* is looking to order a *grilled* *cheese* *sandwich.*,{},"1,7,8,9","A man waiting at the window of a sandwich restaurant may order any kind of sandwich, it is not implied that he wants a grilled cheese sandwich.",A senior is waiting at the window of a restaurant that serves sandwiches., A man is looking to order a *grilled* *cheese* *sandwich.*,{},"7,8,9",The man may not be going to make an order and may not want a sandwich of grilled cheese,A senior is waiting at the window of a restaurant that serves sandwiches., A man is looking to *order* a *grilled* *cheese* sandwich.,{},"7,8,5"
3021028400.jpg#1r1e,entailment,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A person in a suit,"A man is a person, and both sentences mention suits."," *Man* in a black *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,"4,0","4,1","Man is person, and black suit is a type of suit."," *Man* in a *black* *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a *suit*,"0,3,4","1,4",A man is a type of person.," *Man* in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *person* in a suit,0,1
3021028400.jpg#1r1c,contradiction,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",Nobody has a suit,If nobody has a suit then a man can't be wearing a suit.," *Man* *in* *a* black *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",*Nobody* *has* *a* *suit*,"4,0,2,1","0,2,1,3",It is stated that there is at least one person wearing a black suit.," *Man* in a *black* *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",*Nobody* has a *suit*,"0,3,4","0,3",The man can’t wear a suit when no one is wearing a suit.," *Man* in a black *suit,* white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",*Nobody* has a *suit*,"4,0","0,3"
3021028400.jpg#1r1n,neutral,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.",A tall person in a suit,Not all tall people are men.,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *tall* *person* in a suit,{},"1,2",The fact that someone is a man in a suit does not necessarily imply that they are tall.,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *tall* person in a suit,{},1,The man in a suit may not be tall,"Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.", A *tall* person in a suit,{},1
508074953.jpg#2r1e,entailment,Two women having drinks and smoking cigarettes at the bar.,Two women are at a bar.,"In both description, there are two women at a bar.", *Two* *women* having drinks and smoking cigarettes at the bar., Two women are at a *bar.*,"0,1",5,DRINKS AND SMOKING CIGARETTES CAN BE LEGALLY DONE ONLY IN A BAR, Two women having *drinks* and *smoking* *cigarettes* at the bar., Two women are at a *bar.*,"3,5,6",5,having drinks and smoking cigarettes at the bar so they are at bar, Two women *having* *drinks* *and* *smoking* *cigarettes* *at* *the* *bar.*, Two women are *at* *a* *bar.*,"2,3,4,5,6,7,8,9","5,4,3"
508074953.jpg#2r1c,contradiction,Two women having drinks and smoking cigarettes at the bar.,Three women are at a bar.,There can be either two women or three women.,*Two* *women* having drinks and smoking cigarettes at the bar.,*Three* *women* are at a bar.,"0,1","1,0",Three women are more than two women.,*Two* *women* having drinks and smoking cigarettes at the bar.,*Three* *women* are at a bar.,"0,1","0,1",Two is different from three.,*Two* women having drinks and smoking cigarettes at the bar.,*Three* women are at a bar.,0,0
508074953.jpg#2r1n,neutral,Two women having drinks and smoking cigarettes at the bar.,Women are celebrating at a bar.,Two women having drinks at a bar aren't necessarily celebrating.,Two women having drinks and smoking cigarettes at the bar., Women are *celebrating* at a bar.,{},2,Drinking and smoking doesn't imply celebrating.,Two women having drinks and smoking cigarettes at the bar., Women are *celebrating* at a bar.,{},2,Not everyone having drinks at a bar are celebrating.,Two women having drinks and smoking cigarettes at the bar., Women are *celebrating* at a bar.,{},2
3261712960.jpg#0r1c,contradiction,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A single man is next to a camera,The crowd can't be single man.," At an outdoor event in an Asian-themed area, a *crowd* congregates as one person in a yellow Chinese dragon costume confronts the camera.",A *single* *man* is next to a camera,9,"1,2",If a man is next to a camera then he is not confronting the camera.," At an outdoor event in an Asian-themed area, a *crowd* congregates as one person in a yellow Chinese dragon costume *confronts* *the* *camera.*",A single man is *next* *to* *a* *camera*,"9,20,21,22","4,5,6,7",The man can't be next to the camera and confront it a the same time.," At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume *confronts* the camera.",A single man is *next* to a camera,20,4
3261712960.jpg#0r1n,neutral,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is dancing,A crowd at an event is not assumed to be dancing.,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.", A crowd is *dancing*,{},3,A crowd that congregates doesn't imply is dancing.,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.", A crowd is *dancing*,{},3,nothing stated in the first sentence says anything about dancing,"At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.", A crowd is *dancing*,{},3
